,Feature Name,F-score
0,Megasphaera,228.58463544056016
1,Ruminococcaceae_3,228.15840119816508
2,Sneathia,218.77029119085395
3,pH,156.36314055164584
4,Atopobium,129.55923197921268
5,Gardnerella,129.04500827966214
6,Anaerococcus,121.45258459061965
7,Dialister,87.70611863901625
8,Porphyromonas,81.36507834692472
9,Peptoniphilus,46.79797087584444
10,L. crispatus,44.7545080493372
49,Bacteroidetes_4,40.32761695257561
11,Bacteroidetes_8,38.35937823887636
12,Bulleidia,31.342367052241475
13,Parvimonas,27.3033306382574
14,Lactobacillales_7,25.155513676870463
15,L. iners,24.88444147574613
16,Coriobacteriaceae_2,24.35286302419786
17,Lachnospiraceae_4,21.710284927951047
18,Proteobacteria_12,19.89664317134278
19,Fusobacterium,18.071497311529658
20,Proteobacteria_2,17.195581377274692
21,Arcanobacterium,16.79201934611736
22,Moryella,16.17453488324592
23,Peptococcus,15.310010213328553
24,Ruminococcaceae_6,14.203120831649919
25,Mobiluncus,13.33737049463578
26,Eggerthella,11.779702653043612
27,Clostridiales_1,11.487939930643206
28,Prevotella,10.781859207297368
29,Ruminococcaceae_Incertae_Sedis,10.552989490799815
30,Bacteroidetes_3,6.380566644981255
31,L. jensenii,5.329670398055594
32,Ruminococcaceae_4,5.008647594607795
33,Lachnospiraceae_9,3.4473432463139635
34,Proteobacteria_1,3.1856360502766696
35,Prevotellaceae_1,2.009432483179438
36,Lactobacillales_5,1.935167655870406
37,Bacteroidetes_12,1.0925862286120385
38,Bacteroidetes_1,0.814622457616527
39,Gemella,0.47756124096887625
40,Lactobacillales_2,0.41232001957263253
41,Prevotellaceae_2,0.3634749973080956
42,Peptostreptococcus,0.344496894580087
43,Anaeroglobus,0.3399278489711236
44,Bacteroidales_1,0.32283169245194554
45,Lachnospiraceae_8,0.26348216402670144
46,Lactobacillales_6,0.13952408389866633
47,Clostridiales_4,0.03585378019801013
48,Aerococcus,0.004501276574547771
